Date,Visitor,G,Home,G,,Att.,LOG,Notes
5/20/2023,Florida Panthers,2,Carolina Hurricanes,1,OT,18854,2:54,
5/21/2023,Dallas Stars,2,Vegas Golden Knights,3,OT,18358,2:47,
5/22/2023,Carolina Hurricanes,0,Florida Panthers,1,,19873,2:34,
5/23/2023,Vegas Golden Knights,4,Dallas Stars,0,,18532,2:29,
5/24/2023,Carolina Hurricanes,3,Florida Panthers,4,,20065,2:37,
5/25/2023,Vegas Golden Knights,2,Dallas Stars,3,OT,18532,2:41,
5/27/2023,Dallas Stars,4,Vegas Golden Knights,2,,18546,2:26,
5/29/2023,Vegas Golden Knights,6,Dallas Stars,0,,18532,2:20,
6/3/2023,Florida Panthers,2,Vegas Golden Knights,5,,18432,2:46,
6/5/2023,Florida Panthers,2,Vegas Golden Knights,7,,18561,2:42,
6/8/2023,Vegas Golden Knights,2,Florida Panthers,3,OT,19735,2:59,
6/10/2023,Vegas Golden Knights,3,Florida Panthers,2,,19986,2:38,
6/13/2023,Florida Panthers,3,Vegas Golden Knights,9,,19058,2:35,
6/8/2023,Vegas Golden Knights,2,Florida Panthers,3,OT,19735,2:59,
6/10/2023,Vegas Golden Knights,3,Florida Panthers,2,,19986,2:38,
6/13/2023,Florida Panthers,3,Vegas Golden Knights,9,,19058,2:35,
