Date,Visitor,G,Home,G,,Att.,LOG,Notes
10/24/2019,San Jose Sharks,4,Montreal Canadiens,2,,21052,2:36,
10/24/2019,Minnesota Wild,0,Nashville Predators,4,,17386,2:21,
10/24/2019,Arizona Coyotes,2,New York Islanders,4,,10752,2:27,
10/24/2019,Buffalo Sabres,2,New York Rangers,6,,16913,2:19,
10/24/2019,Los Angeles Kings,2,St. Louis Blues,5,,18096,2:24,
10/25/2019,Buffalo Sabres,2,Detroit Red Wings,0,,18616,2:27,
10/25/2019,Arizona Coyotes,5,New Jersey Devils,3,,14724,2:30,
10/25/2019,New York Islanders,4,Ottawa Senators,2,,11189,2:38,
10/25/2019,San Jose Sharks,1,Toronto Maple Leafs,4,,19102,2:46,
10/25/2019,Washington Capitals,6,Vancouver Canucks,5,SO,18871,2:40,
10/25/2019,Colorado Avalanche,6,Vegas Golden Knights,1,,18420,2:18,
10/26/2019,St. Louis Blues,0,Boston Bruins,3,,17193,2:29,
10/26/2019,Chicago Blackhawks,0,Carolina Hurricanes,4,,15738,2:16,
10/26/2019,Anaheim Ducks,5,Colorado Avalanche,2,,18039,2:40,
10/26/2019,Pittsburgh Penguins,3,Dallas Stars,0,,18532,2:31,
10/26/2019,Los Angeles Kings,1,Minnesota Wild,5,,17444,2:21,
10/26/2019,Toronto Maple Leafs,2,Montreal Canadiens,5,,21302,2:28,
10/26/2019,Columbus Blue Jackets,4,Philadelphia Flyers,7,,17840,2:29,
10/26/2019,Nashville Predators,3,Tampa Bay Lightning,2,OT,19092,2:35,
10/26/2019,Calgary Flames,1,Winnipeg Jets,2,OT,33518,2:45,at Mosaic Stadium (Regina SK)
10/27/2019,Los Angeles Kings,1,Chicago Blackhawks,5,,21334,2:22,
10/27/2019,St. Louis Blues,5,Detroit Red Wings,4,OT,18331,2:23,
10/27/2019,Florida Panthers,6,Edmonton Oilers,2,,17278,2:24,
10/27/2019,Philadelphia Flyers,3,New York Islanders,5,,12055,2:27,
10/27/2019,Boston Bruins,7,New York Rangers,4,,17144,2:37,
10/27/2019,San Jose Sharks,2,Ottawa Senators,5,,9740,2:24,
10/27/2019,Anaheim Ducks,2,Vegas Golden Knights,5,,18110,2:40,
10/28/2019,Arizona Coyotes,3,Buffalo Sabres,2,SO,15358,2:36,
10/28/2019,Florida Panthers,2,Vancouver Canucks,7,,17864,2:20,
10/29/2019,Winnipeg Jets,4,Anaheim Ducks,7,,15171,2:34,
10/29/2019,San Jose Sharks,1,Boston Bruins,5,,17193,3:17,
10/29/2019,Calgary Flames,1,Carolina Hurricanes,2,,13864,2:33,
10/29/2019,Minnesota Wild,3,Dallas Stars,6,,17756,2:30,
10/29/2019,Edmonton Oilers,1,Detroit Red Wings,3,,19515,2:28,
10/29/2019,Chicago Blackhawks,0,Nashville Predators,3,,17259,2:26,
10/29/2019,Tampa Bay Lightning,1,New York Rangers,4,,17196,2:37,
10/29/2019,Philadelphia Flyers,1,Pittsburgh Penguins,7,,18560,2:30,
10/29/2019,Washington Capitals,4,Toronto Maple Leafs,3,OT,19258,3:05,
10/30/2019,Montreal Canadiens,4,Arizona Coyotes,1,,14004,2:27,
10/30/2019,Edmonton Oilers,4,Columbus Blue Jackets,1,,14193,2:20,
10/30/2019,Florida Panthers,4,Colorado Avalanche,3,OT,16022,2:51,
10/30/2019,Vancouver Canucks,5,Los Angeles Kings,3,,15565,2:30,
10/30/2019,Tampa Bay Lightning,7,New Jersey Devils,6,OT,13152,2:33,
10/30/2019,Minnesota Wild,1,St. Louis Blues,2,,18096,2:27,
10/31/2019,Calgary Flames,6,Nashville Predators,5,OT,17351,2:33,
10/31/2019,Montreal Canadiens,5,Vegas Golden Knights,4,OT,18035,2:32,
11/1/2019,Vancouver Canucks,1,Anaheim Ducks,2,OT,15173,2:31,
11/1/2019,Detroit Red Wings,3,Carolina Hurricanes,7,,15383,2:27,
11/1/2019,Dallas Stars,2,Colorado Avalanche,1,,18020,2:35,
11/1/2019,Philadelphia Flyers,4,New Jersey Devils,3,SO,14624,2:58,
11/1/2019,Tampa Bay Lightning,2,New York Islanders,5,,12043,2:27,
11/1/2019,Winnipeg Jets,3,San Jose Sharks,2,,15117,2:27,
11/1/2019,Columbus Blue Jackets,3,St. Louis Blues,4,OT,18096,2:33,
11/1/2019,Buffalo Sabres,1,Washington Capitals,6,,18573,2:42,
11/2/2019,Colorado Avalanche,0,Arizona Coyotes,3,,17125,2:23,
11/2/2019,Ottawa Senators,2,Boston Bruins,5,,17193,3:48,
11/2/2019,New York Islanders,1,Buffalo Sabres,0,,19070,2:16,
11/2/2019,New Jersey Devils,5,Carolina Hurricanes,3,,15079,2:37,
11/2/2019,Calgary Flames,3,Columbus Blue Jackets,0,,15618,2:23,
11/2/2019,Montreal Canadiens,1,Dallas Stars,4,,18532,2:34,
11/2/2019,Detroit Red Wings,0,Florida Panthers,4,,14411,2:22,
11/2/2019,Chicago Blackhawks,3,Los Angeles Kings,4,OT,18230,2:38,
11/2/2019,St. Louis Blues,4,Minnesota Wild,3,OT,18208,2:34,
11/2/2019,New York Rangers,2,Nashville Predators,1,,17371,2:17,
11/2/2019,Toronto Maple Leafs,4,Philadelphia Flyers,3,SO,18441,2:40,
11/2/2019,Edmonton Oilers,2,Pittsburgh Penguins,1,OT,18618,2:41,
11/2/2019,Vancouver Canucks,5,San Jose Sharks,2,,16480,2:28,
11/2/2019,Winnipeg Jets,4,Vegas Golden Knights,3,OT,18276,2:41,
11/3/2019,Chicago Blackhawks,3,Anaheim Ducks,2,OT,15576,2:35,
11/3/2019,Calgary Flames,2,Washington Capitals,4,,18573,2:29,
11/4/2019,Pittsburgh Penguins,4,Boston Bruins,6,,17193,2:33,
11/4/2019,Nashville Predators,6,Detroit Red Wings,1,,18526,2:27,
11/4/2019,Arizona Coyotes,3,Edmonton Oilers,2,OT,17105,2:29,
11/4/2019,Ottawa Senators,6,New York Rangers,2,,16302,2:37,
11/5/2019,Minnesota Wild,4,Anaheim Ducks,2,,15526,2:24,
11/5/2019,Vegas Golden Knights,2,Columbus Blue Jackets,1,,15435,2:29,
11/5/2019,Arizona Coyotes,3,Calgary Flames,4,OT,17824,2:39,
11/5/2019,Colorado Avalanche,1,Dallas Stars,4,,18108,2:34,
11/5/2019,Boston Bruins,4,Montreal Canadiens,5,,21302,2:33,
11/5/2019,Ottawa Senators,1,New York Islanders,4,,11212,2:34,at Barclays Center (Brooklyn NY)
11/5/2019,Carolina Hurricanes,1,Philadelphia Flyers,4,,16172,2:25,
11/5/2019,Chicago Blackhawks,2,San Jose Sharks,4,,16087,2:21,
11/5/2019,Los Angeles Kings,1,Toronto Maple Leafs,3,,19195,2:25,
11/5/2019,St. Louis Blues,2,Vancouver Canucks,1,OT,18789,2:23,
11/5/2019,New Jersey Devils,2,Winnipeg Jets,1,SO,15325,2:41,
11/6/2019,St. Louis Blues,5,Edmonton Oilers,2,,17068,2:30,
11/6/2019,Detroit Red Wings,1,New York Rangers,5,,16804,2:26,
11/7/2019,Columbus Blue Jackets,3,Arizona Coyotes,2,,12115,2:21,
11/7/2019,New York Rangers,4,Carolina Hurricanes,2,,13878,2:22,
11/7/2019,New Jersey Devils,2,Calgary Flames,5,,18851,2:31,
11/7/2019,Vancouver Canucks,2,Chicago Blackhawks,5,,21418,2:28,
11/7/2019,Nashville Predators,4,Colorado Avalanche,9,,17492,2:32,
11/7/2019,Washington Capitals,5,Florida Panthers,4,OT,14085,2:28,
11/7/2019,Pittsburgh Penguins,4,New York Islanders,3,OT,12613,2:25,at Barclays Center (Brooklyn NY)
11/7/2019,Los Angeles Kings,2,Ottawa Senators,3,OT,9929,2:32,
11/7/2019,Montreal Canadiens,2,Philadelphia Flyers,3,OT,16788,2:28,
11/7/2019,Minnesota Wild,5,San Jose Sharks,6,,15764,2:33,
11/7/2019,Vegas Golden Knights,1,Toronto Maple Leafs,2,OT,19218,2:34,
11/8/2019,Tampa Bay Lightning,3,Buffalo Sabres,2,,13230,2:33,NHL Global Series
11/8/2019,Boston Bruins,2,Detroit Red Wings,4,,19515,2:43,
11/8/2019,New Jersey Devils,0,Edmonton Oilers,4,,17240,2:24,
11/8/2019,Vancouver Canucks,1,Winnipeg Jets,4,,15325,2:19,
11/9/2019,Minnesota Wild,4,Arizona Coyotes,3,,14428,2:25,
11/9/2019,St. Louis Blues,3,Calgary Flames,2,OT,19289,2:34,
11/9/2019,Columbus Blue Jackets,2,Colorado Avalanche,4,,18070,2:25,
11/9/2019,Los Angeles Kings,2,Montreal Canadiens,3,,21302,2:28,
11/9/2019,Florida Panthers,1,New York Islanders,2,,13100,2:43,at Barclays Center (Brooklyn NY)
11/9/2019,Carolina Hurricanes,1,Ottawa Senators,4,,12276,2:33,
11/9/2019,Chicago Blackhawks,2,Pittsburgh Penguins,3,SO,18653,2:36,
11/9/2019,Nashville Predators,1,San Jose Sharks,2,SO,17562,2:36,
11/9/2019,Buffalo Sabres,3,Tampa Bay Lightning,5,,13339,2:42,NHL Global Series
11/9/2019,Philadelphia Flyers,3,Toronto Maple Leafs,2,SO,19279,2:55,
11/9/2019,Vegas Golden Knights,2,Washington Capitals,5,,18573,2:37,
11/10/2019,Edmonton Oilers,6,Anaheim Ducks,2,,16463,2:24,
11/10/2019,Philadelphia Flyers,3,Boston Bruins,2,SO,17193,2:50,
11/10/2019,Toronto Maple Leafs,4,Chicago Blackhawks,5,,21598,2:47,
11/10/2019,Vegas Golden Knights,2,Detroit Red Wings,3,,19057,2:24,
11/10/2019,Florida Panthers,6,New York Rangers,5,SO,17464,2:38,
11/10/2019,New Jersey Devils,2,Vancouver Canucks,1,,18871,2:20,
11/10/2019,Dallas Stars,2,Winnipeg Jets,3,OT,15323,2:30,
11/11/2019,Ottawa Senators,2,Carolina Hurricanes,8,,12356,2:43,
11/11/2019,Arizona Coyotes,4,Washington Capitals,3,SO,18573,2:42,
11/12/2019,Detroit Red Wings,4,Anaheim Ducks,3,OT,15046,2:48,
11/12/2019,Florida Panthers,5,Boston Bruins,4,SO,17850,2:47,
11/12/2019,Minnesota Wild,1,Los Angeles Kings,3,,16099,2:26,
11/12/2019,Columbus Blue Jackets,2,Montreal Canadiens,3,SO,20758,2:44,
11/12/2019,Pittsburgh Penguins,2,New York Rangers,3,OT,16904,2:23,
11/12/2019,Edmonton Oilers,3,San Jose Sharks,6,,15567,2:24,
11/12/2019,Arizona Coyotes,3,St. Louis Blues,2,SO,18096,2:38,
11/12/2019,Nashville Predators,3,Vancouver Canucks,5,,18233,2:25,
11/12/2019,Colorado Avalanche,4,Winnipeg Jets,0,,15325,2:23,
11/13/2019,Dallas Stars,3,Calgary Flames,1,,18257,2:25,
11/13/2019,Ottawa Senators,4,New Jersey Devils,2,,13438,2:55,
11/13/2019,Toronto Maple Leafs,4,New York Islanders,5,,13293,2:17,
11/13/2019,Washington Capitals,2,Philadelphia Flyers,1,SO,18159,2:40,
11/13/2019,Chicago Blackhawks,5,Vegas Golden Knights,3,,18324,2:32,
11/14/2019,San Jose Sharks,5,Anaheim Ducks,3,,16007,2:26,
11/14/2019,Carolina Hurricanes,5,Buffalo Sabres,4,OT,16603,2:49,
11/14/2019,Colorado Avalanche,2,Edmonton Oilers,6,,17188,2:32,
11/14/2019,Winnipeg Jets,4,Florida Panthers,3,,12190,2:20,
11/14/2019,Detroit Red Wings,2,Los Angeles Kings,3,OT,16871,2:26,
11/14/2019,Arizona Coyotes,2,Minnesota Wild,3,,17079,2:31,
11/14/2019,New York Rangers,3,Tampa Bay Lightning,9,,19092,2:41,
11/14/2019,Dallas Stars,4,Vancouver Canucks,2,,18642,2:25,
11/15/2019,St. Louis Blues,2,Columbus Blue Jackets,3,OT,18505,2:36,
11/15/2019,Pittsburgh Penguins,1,New Jersey Devils,2,,16514,2:29,
11/15/2019,Philadelphia Flyers,1,Ottawa Senators,2,,10664,2:21,
11/15/2019,Boston Bruins,4,Toronto Maple Leafs,2,,19434,2:32,
11/15/2019,Montreal Canadiens,5,Washington Capitals,2,,18573,2:30,
11/16/2019,Calgary Flames,0,Arizona Coyotes,3,,13534,2:27,
11/16/2019,Washington Capitals,3,Boston Bruins,2,SO,17850,2:35,
11/16/2019,Ottawa Senators,2,Buffalo Sabres,4,,18555,2:29,
11/16/2019,Dallas Stars,5,Edmonton Oilers,4,OT,17346,2:35,
11/16/2019,New York Rangers,3,Florida Panthers,4,,16512,2:29,
11/16/2019,Vegas Golden Knights,3,Los Angeles Kings,4,,17282,2:27,
11/16/2019,Carolina Hurricanes,4,Minnesota Wild,3,OT,17101,2:32,
11/16/2019,New Jersey Devils,4,Montreal Canadiens,3,OT,21016,2:49,
11/16/2019,Chicago Blackhawks,7,Nashville Predators,2,,17393,2:20,
11/16/2019,New York Islanders,4,Philadelphia Flyers,3,SO,19023,2:35,
